OTHER,OTHER,OTHER,PERSON-B,Kera\NN
,,,,untuk\SC amankan\VB
OTHER,OTHER,OTHER,OTHER,pesta_olahraga\NN
OTHER|Location_GPE_Country,OTHER|Location_GPE,OTHER|LOCATION,PERSON-B|LOCATION-B|LOCATION-I,Pemerintah\NNP kota\NNP Delhi\NNP
,,,,mengerahkan\VB
OTHER,OTHER,OTHER,OTHER,monyet\NN
,,,,untuk\SC mengusir\VB
OTHER,OTHER,OTHER,OTHER,monyet-monyet\NN lain\JJ
,,,,yang\SC berbadan\VB lebih\RB kecil\JJ dari\IN arena\NN
Location_GPE_Other|OTHER,Location_GPE|OTHER,LOCATION|OTHER,PERSON-B|PERSON-I,Pesta_Olahraga\NNP Persemakmuran\NNP
,,,,.\Z
OTHER,OTHER,OTHER,OTHER,Beberapa\CD laporan\NN
,,,,menyebutkan\VB
OTHER|Countx_N-Person,OTHER|Countx_N-Person,OTHER|NUM,OTHER|QUANTITY-B,setidaknya\RB 10\CD monyet\NN
,,,,ditempatkan\VB di\IN luar\NN arena\NN
OTHER,OTHER,OTHER,OTHER,lomba\NN dan\CC pertandingan\NN
,,,,di\IN
OTHER,OTHER,OTHER,OTHER|LOCATION-B,ibukota\NNP India\NNP
,,,,.\Z
OTHER|Location_GPE_Country,OTHER|Location_GPE,OTHER|LOCATION,PERSON-B|LOCATION-B,Pemkot\NNP Delhi\NNP
,,,,memiliki\VB
Countx_N-Person,Countx_N-Person,PERSON,QUANTITY-B|OTHER,28\CD monyet\NN
,,,,dan\CC berencana\VB mendatangkan\VB
Countx_N-Person|OTHER,Countx_N-Person|OTHER,NUM|OTHER,QUANTITY-B|OTHER,10\CD monyet\NN sejenis\NN
,,,,dari\IN
OTHER,OTHER,OTHER,OTHER|PERSON-B,negara_bagian\NNP Rajasthan\NNP
,,,,.\Z
OTHER,OTHER,OTHER,PERSON-B|OTHER,Jumlah\NN monyet\NN
,,,,di\IN
OTHER|Location_GPE_City,OTHER|Location_GPE,OTHER|LOCATION,OTHER|LOCATION-B,ibukota\NNP India\NNP
,,,,mencapai\VB
OTHER,OTHER,OTHER,OTHER,ribuan\CD
,,,,",\Z"
OTHER,OTHER,OTHER,OTHER,sebagian_besar\NN
,,,,berada\VB di\IN
OTHER,OTHER,OTHER,OTHER,kantor-kantor\NN pemerintah\NN
,,,,dan\CC
OTHER,OTHER,OTHER,OTHER,hewan\NN ini\PR
,,,,dianggap\VB mengganggu\VB
OTHER,OTHER,OTHER,OTHER,ketertiban\NN umum\JJ
,,,,.\Z
OTHER,OTHER,OTHER,PERSON-B|OTHER,Jenis\NN monyet\NN
,,,,yang\SC dikerahkan\VB
OTHER,OTHER,OTHER,OTHER,pemkot\NN
,,,,"berbadan\VB besar\JJ ,\Z berekor\VB panjang\JJ ,\Z dan\CC memiliki\VB wajah\NN berwarna\VB hitam\JJ .\Z"
OTHER,OTHER,OTHER,PERSON-B|OTHER,Monyet\NN ini\PR
,,,,diikat\VB dengan\IN
OTHER,OTHER,OTHER,OTHER,tali\NN panjang\JJ
,,,,dan\CC pelatih\NN yang\SC mengawasi\VB
OTHER,OTHER,OTHER,OTHER,mereka\PRP
,,,,akan\MD melepas\VB
OTHER,OTHER,OTHER,OTHER,tali\NN
,,,,begitu\SC
OTHER,OTHER,OTHER,OTHER,monyet-monyet\NN kecil\JJ lain\JJ
,,,,mendekat\VB .\Z
Organization_Political_Government|OTHER,Organization_Political|Location_GPE,ORGANIZATION|OTHER,PERSON-B|OTHER|ORGANIZATION-B,Kantor_berita\NNP AFP\NNP
,,,,melaporkan\VB stadion\NN
OTHER,OTHER,OTHER,OTHER,tinju\NN
,,,,dan\CC
OTHER,OTHER,OTHER,OTHER,hockey\FW
,,,,mendapatkan\VB
OTHER,OTHER,OTHER,OTHER,perhatian\NN khusus\JJ
,,,,karena\SC sering\RB diserbu\VB
OTHER,OTHER,OTHER,OTHER,monyet\NN
,,,,.\Z
OTHER,OTHER,OTHER,PERSON-B|OTHER,Monyet\NN besar\JJ
,,,,akan\MD dikerahkan\VB di\IN
OTHER,OTHER,NUM,QUANTITY-B|OTHER,dua\CD stadion\NN
,,,,untuk\SC mengusir\VB serbuan\NN
OTHER,OTHER,OTHER,OTHER,monyet\NN kecil\JJ
,,,,"\Z"""
OTHER,OTHER|Person,OTHER,OTHER|PERSON-B,Monyet\NN besar\JJ
,,,,akan\MD dikerahkan\VB di\IN
OTHER,OTHER,OTHER,OTHER|QUANTITY-B,dua\CD stadion\NN tersebut\PR
,,,,untuk\SC mengusir\VB serbuan\NN
OTHER,OTHER,OTHER,OTHER,monyet\NN kecil\JJ
,,,,",\Z \Z kata\VB"""
OTHER,OTHER,OTHER,OTHER,Devender\NNP Prasad\NNP
,,,,",\Z pejabat\NN"
OTHER,OTHER,OTHER,PERSON-B|PERSON-I|OTHER,pemerintah\NNP kota\NNP Delhi\NNP
,,,,kepada\IN
Location_GPE_Country|OTHER,Location_GPE|OTHER,LOCATION|OTHER,OTHER|LOCATION-B|LOCATION-I,kantor_berita\NNP AFP\NNP
,,,,.\Z
,,,,Selama\IN
OTHER,OTHER,OTHER,OTHER,bertahun-tahun\CD
OTHER,OTHER,OTHER,OTHER,monyet\NN
OTHER,OTHER,OTHER,OTHER,warga\NN Delhi\NNP
,,,,.\Z
OTHER,OTHER,OTHER,PERSON-B|OTHER,Binatang\NN ini\PR
,,,,menaiki\VB
OTHER,OTHER,OTHER,OTHER,kereta\NN metro\NN
,,,,dan\CC bahkan\RB berkeliaran\VB di\IN
OTHER,OTHER,OTHER,OTHER,kompleks\NN gedung\NN parlemen\NN
,,,,.\Z
,,,,Belum\NEG lama\JJ ini\PR
OTHER,OTHER,OTHER,OTHER,kawanan\NN monyet\NN
,,,,menyerbu\VB
OTHER,OTHER,OTHER,OTHER,kantor\NN perdana_menteri\NN
,,,,dan\CC
OTHER,OTHER,OTHER,OTHER,departemen\NN pertahanan\NN
,,,,.\Z
OTHER,OTHER,OTHER,PERSON-B|OTHER,Binatang\NN ini\PR
