id,Frase,coref id,
1,Kera\NN,,
,untuk\SC amankan\VB,,
2,pesta_olahraga\NN,,
3,Pemerintah\NNP kota\NNP Delhi\NNP,,
,mengerahkan\VB,,
4,monyet\NN,1,
,untuk\SC mengusir\VB,,
5,monyet-monyet\NN lain\JJ,,
,yang\SC berbadan\VB lebih\RB kecil\JJ dari\IN arena\NN,,
6,Pesta_Olahraga\NNP Persemakmuran\NNP,2,
,.\Z,,
7,Beberapa\CD laporan\NN,,
,menyebutkan\VB,,
8,setidaknya\RB 10\CD monyet\NN,,
,ditempatkan\VB di\IN luar\NN arena\NN,,
9,lomba\NN dan\CC pertandingan\NN,,
,di\IN,,
10,ibukota\NNP India\NNP,,
,.\Z,,
11,Pemkot\NNP Delhi\NNP,3,
,memiliki\VB,,
12,28\CD monyet\NN,?,
,dan\CC berencana\VB mendatangkan\VB,,
13,10\CD monyet\NN sejenis\NN,?,
,dari\IN,,
14,negara_bagian\NNP Rajasthan\NNP,,
,.\Z,,
15,Jumlah\NN monyet\NN,,
,di\IN,,
16,ibukota\NNP India\NNP,10,
,mencapai\VB,,
17,ribuan\CD,,
,",\Z",,
18,sebagian_besar\NN,,
,berada\VB di\IN,,
19,kantor-kantor\NN pemerintah\NN,,
,dan\CC,,
20,hewan\NN ini\PR,15?,
,dianggap\VB mengganggu\VB,,
21,ketertiban\NN umum\JJ,,
,.\Z,,
22,Jenis\NN monyet\NN,15?,
,yang\SC dikerahkan\VB,,
23,pemkot\NN,11,
,"berbadan\VB besar\JJ ,\Z berekor\VB panjang\JJ ,\Z dan\CC memiliki\VB wajah\NN berwarna\VB hitam\JJ .\Z",,
24,Monyet\NN ini\PR,15?,
,diikat\VB dengan\IN,,
25,tali\NN panjang\JJ,,
,dan\CC pelatih\NN yang\SC mengawasi\VB,,
26,mereka\PRP,24,
,akan\MD melepas\VB,,
27,tali\NN,,
,begitu\SC,,
28,monyet-monyet\NN kecil\JJ lain\JJ,,
,mendekat\VB .\Z,,
29,Kantor_berita\NNP AFP\NNP,,
,melaporkan\VB stadion\NN,,
30,tinju\NN,,
,dan\CC,,
31,hockey\FW,,
,mendapatkan\VB,,
32,perhatian\NN khusus\JJ,,
,karena\SC sering\RB diserbu\VB,,
