Pemerintah\NNP kota\NNP Delhi\NNP 3, pemerintah\NNP kota\NNP Delhi\NNP 41
Pemkot\NNP Delhi\NNP 11, pemkot\NNP Delhi\NNP 56
Pemkot\NNP Delhi\NNP 11, Pemkot\NN 62
Monyet\NN ini\PR 24, Dia\PRP 101
mereka\PRP 26, mereka\PRP 76
mereka\PRP 26, mereka\PRP 81
mereka\PRP 26, mereka.\PRP 89
mereka\PRP 26, Dia\PRP 101
Binatang\NN ini\PR 46, Binatang\NN ini\PR 52
Binatang\NN ini\PR 46, Dia\PRP 101
Binatang\NN ini\PR 52, Dia\PRP 101
mereka\PRP 54, Dia\PRP 101
orang\NN kaya\NN Cina\NNP 67, Cina.\NNP 74
orang\NN kaya\NN Cina\NNP 67, Cina\NNP 111
orang\NN kaya\NN Cina\NNP 67, Cina\NNP 122
Dua\CD miliarder\NN Amerika\NNP 68, Amerika\NNP 88
Cina.\NNP 74, Cina\NNP 77
Cina.\NNP 74, budaya\NN Cina\NNP 108
Cina.\NNP 74, Cina\NNP 111
Cina.\NNP 74, Cina\NNP 122
mereka\PRP 76, mereka.\PRP 89
mereka\PRP 76, Dia\PRP 101
mereka\PRP 76, Saya\PRP 151
mereka\PRP 76, saya\PRP 153
mereka\PRP 76, saya\PRP 154
Cina\NNP 77, budaya\NN Cina\NNP 108
Cina\NNP 77, Cina\NNP 111
Cina\NNP 77, Cina\NNP 122
negara\NN itu.\PR 79, Dia\PRP 101
negara\NN itu.\PR 79, Saya\PRP 151
negara\NN itu.\PR 79, saya\PRP 153
negara\NN itu.\PR 79, saya\PRP 154
Banyak\CD orang\NN 80, Saya\PRP 151
Banyak\CD orang\NN 80, saya\PRP 153
Banyak\CD orang\NN 80, saya\PRP 154
mereka\PRP 81, Dia\PRP 101
mereka\PRP 81, Saya\PRP 151
mereka\PRP 81, saya\PRP 153
mereka\PRP 81, saya\PRP 154
Kedua\CD 85, Saya\PRP 151
Kedua\CD 85, saya\PRP 153
Kedua\CD 85, saya\PRP 154
orang\NN terkaya\JJ dunia\NN 86, Saya\PRP 151
orang\NN terkaya\JJ dunia\NN 86, saya\PRP 153
orang\NN terkaya\JJ dunia\NN 86, saya\PRP 154
Amerika\NNP 88, Amerika\NNP Serikat\NNP 174
mereka.\PRP 89, Dia\PRP 101
mereka.\PRP 89, Saya\PRP 151
mereka.\PRP 89, saya\PRP 153
mereka.\PRP 89, saya\PRP 154
acara\NN itu,\PR 91, Saya\PRP 151
acara\NN itu,\PR 91, saya\PRP 153
acara\NN itu,\PR 91, saya\PRP 154
Dia\PRP 101, kami\PRP 116
Dia\PRP 101, nya.\PRP 119
Dia\PRP 101, jamuan\NN makan\NN malam\NN ini\PR 124
Dia\PRP 101, keberhasilan\NN itu\PR 125
Dia\PRP 101, demikian\PR 137
Dia\PRP 101, Saya\PRP 151
Dia\PRP 101, saya\PRP 153
Dia\PRP 101, saya\PRP 154
Dia\PRP 101, nya\PRP 155
Dia\PRP 101, sekarang\NN ini,\PR 164
Dia\PRP 101, nya\PRP 165
Dia\PRP 101, situs\NN ini\PR 167
Dia\PRP 101, mereka.\PRP 183
Dia\PRP 101, nya\PRP 187
dia\PRP 103, Saya\PRP 151
dia\PRP 103, saya\PRP 153
dia\PRP 103, saya\PRP 154
dia\PRP 103, dia\PRP 166
dia\PRP 103, dia\PRP 172
dia\PRP 103, dia\PRP 177
dia\PRP 103, Mereka\PRP 184
nya\PRP 104, nya.\PRP 119
nya\PRP 104, Saya\PRP 151
nya\PRP 104, saya\PRP 153
nya\PRP 104, saya\PRP 154
nya\PRP 104, nya\PRP 155
nya\PRP 104, nya\PRP 165
nya\PRP 104, Mereka\PRP 184
nya\PRP 104, nya\PRP 187
dia\PRP 106, Saya\PRP 151
dia\PRP 106, saya\PRP 153
dia\PRP 106, saya\PRP 154
dia\PRP 106, dia\PRP 166
dia\PRP 106, dia\PRP 172
dia\PRP 106, dia\PRP 177
dia\PRP 106, Mereka\PRP 184
5.000\CD tahun.\NN 109, Saya\PRP 151
5.000\CD tahun.\NN 109, saya\PRP 153
5.000\CD tahun.\NN 109, saya\PRP 154
kegiatan\NN amal\NN resmi\JJ 110, Saya\PRP 151
kegiatan\NN amal\NN resmi\JJ 110, saya\PRP 153
kegiatan\NN amal\NN resmi\JJ 110, saya\PRP 154
kami\PRP 113, Saya\PRP 151
kami\PRP 113, saya\PRP 153
kami\PRP 113, saya\PRP 154
kami\PRP 113, Mereka\PRP 184
kami\PRP 116, Saya\PRP 151
kami\PRP 116, saya\PRP 153
kami\PRP 116, saya\PRP 154
kami\PRP 116, Mereka\PRP 184
nya.\PRP 119, Saya\PRP 151
nya.\PRP 119, saya\PRP 153
nya.\PRP 119, saya\PRP 154
nya.\PRP 119, nya\PRP 155
nya.\PRP 119, nya\PRP 165
nya.\PRP 119, Mereka\PRP 184
nya.\PRP 119, nya\PRP 187
nya.\PRP 119, nya\PRP 198
uang\NN 120, Saya\PRP 151
uang\NN 120, saya\PRP 153
uang\NN 120, saya\PRP 154
jamuan\NN makan\NN malam\NN ini\PR 124, Saya\PRP 151
jamuan\NN makan\NN malam\NN ini\PR 124, saya\PRP 153
jamuan\NN makan\NN malam\NN ini\PR 124, saya\PRP 154
jamuan\NN makan\NN malam\NN ini\PR 124, Mereka\PRP 184
keberhasilan\NN itu\PR 125, Saya\PRP 151
keberhasilan\NN itu\PR 125, saya\PRP 153
keberhasilan\NN itu\PR 125, saya\PRP 154
keberhasilan\NN itu\PR 125, Mereka\PRP 184
pendiri\NN Facebook\NNP 127, pendiri\NN Facebook\NNP 129
pendiri\NN Facebook\NNP 127, Saya\PRP 151
pendiri\NN Facebook\NNP 127, saya\PRP 153
pendiri\NN Facebook\NNP 127, saya\PRP 154
pendiri\NN Facebook\NNP 129, Facebook\NNP 142
pendiri\NN Facebook\NNP 129, Saya\PRP 151
pendiri\NN Facebook\NNP 129, saya\PRP 153
pendiri\NN Facebook\NNP 129, saya\PRP 154
Mark\NNP Zuckerberg\NNP 130, Mark\NNP Zuckerberg\NNP 133
Mark\NNP Zuckerberg\NNP 130, Mark\NNP Zuckerberg.\NNP 149
Mark\NNP Zuckerberg\NNP 130, Saya\PRP 151
Mark\NNP Zuckerberg\NNP 130, saya\PRP 153
Mark\NNP Zuckerberg\NNP 130, saya\PRP 154
Mark\NNP Zuckerberg\NNP 130, Zuckerberg\NNP 162
Mark\NNP Zuckerberg\NNP 133, Mark\NNP Zuckerberg.\NNP 149
Mark\NNP Zuckerberg\NNP 133, Zuckerberg\NNP 162
demikian\PR 137, Mereka\PRP 184
kisah\NN Zuckerberg\NNP 140, Zuckerberg\NNP 162
Facebook\NNP 142, pembuatan\NN Facebook\NNP 182
tanggal\NN 15\CD Oktober\NNP nanti.\NN 144, Oktober\NNP nanti.\NN 211
Mark\NNP Zuckerberg.\NNP 149, Zuckerberg\NNP 162
Saya\PRP 151, saya\PRP 153
Saya\PRP 151, saya\PRP 154
Saya\PRP 151, Zuckerberg\NNP 162
Saya\PRP 151, sekarang\NN ini,\PR 164
Saya\PRP 151, nya\PRP 165
Saya\PRP 151, dia\PRP 166
Saya\PRP 151, situs\NN ini\PR 167
Saya\PRP 151, dia\PRP 172
Saya\PRP 151, 35\CD orang\NN terkaya\JJ 173
Saya\PRP 151, dia\PRP 177
Saya\PRP 151, Dua\CD orang\NND 179
Saya\PRP 151, rekan\NN Zuckerberg\NNP 180
Saya\PRP 151, Harvard\NNP 181
Saya\PRP 151, mereka.\PRP 183
Saya\PRP 151, nya\PRP 187
Saya\PRP 151, nya\PRP 198
Saya\PRP 151, jamrud\NN raksasa\JJ itu\PR 202
Saya\PRP 151, batu\NN tersebut.\PR 206
Saya\PRP 151, permata\NN itu,\PR 209
Saya\PRP 151, nya\PRP 210
Saya\PRP 151, Anthony\NNP Thomas\NNP 213
Saya\PRP 151, Kalifornia\NNP 215
Saya\PRP 151, dia\PRP 216
Saya\PRP 151, jamrud\NN tersebut\PR 220
Saya\PRP 151, Thomas\NNP 222
Saya\PRP 151, batu\NN itu\PR 223
Saya\PRP 151, nya\PRP 225
Saya\PRP 151, Dia\PRP 227
Saya\PRP 151, batu\NN itu\PR 228
Saya\PRP 151, Thomas\NNP 230
Saya\PRP 151, jamrud\NN raksasa\JJ itu.\PR 233
Saya\PRP 151, dia\PRP 235
Saya\PRP 151, nya.\PRP 237
Saya\PRP 151, Jamrud\NN itu\PR 238
Saya\PRP 151, Amerika\NNP 240
Saya\PRP 151, nya.\PRP 241
Saya\PRP 151, batu\NN itu\PR 243
Saya\PRP 151, New\NNP Orleans\NNP 245
Saya\PRP 151, daerah\NN itu\PR 247
Saya\PRP 151, Las\NNP Vegas\NNP 253
saya\PRP 153, saya\PRP 154
saya\PRP 153, Zuckerberg\NNP 162
saya\PRP 153, sekarang\NN ini,\PR 164
saya\PRP 153, nya\PRP 165
saya\PRP 153, dia\PRP 166
saya\PRP 153, situs\NN ini\PR 167
saya\PRP 153, dia\PRP 172
saya\PRP 153, 35\CD orang\NN terkaya\JJ 173
saya\PRP 153, dia\PRP 177
saya\PRP 153, Dua\CD orang\NND 179
saya\PRP 153, rekan\NN Zuckerberg\NNP 180
saya\PRP 153, Harvard\NNP 181
saya\PRP 153, mereka.\PRP 183
saya\PRP 153, nya\PRP 187
saya\PRP 153, nya\PRP 198
saya\PRP 153, jamrud\NN raksasa\JJ itu\PR 202
saya\PRP 153, batu\NN tersebut.\PR 206
saya\PRP 153, permata\NN itu,\PR 209
saya\PRP 153, nya\PRP 210
saya\PRP 153, Anthony\NNP Thomas\NNP 213
saya\PRP 153, Kalifornia\NNP 215
saya\PRP 153, dia\PRP 216
saya\PRP 153, jamrud\NN tersebut\PR 220
saya\PRP 153, Thomas\NNP 222
saya\PRP 153, batu\NN itu\PR 223
saya\PRP 153, nya\PRP 225
saya\PRP 153, Dia\PRP 227
saya\PRP 153, batu\NN itu\PR 228
saya\PRP 153, Thomas\NNP 230
saya\PRP 153, jamrud\NN raksasa\JJ itu.\PR 233
saya\PRP 153, dia\PRP 235
saya\PRP 153, nya.\PRP 237
saya\PRP 153, Jamrud\NN itu\PR 238
saya\PRP 153, Amerika\NNP 240
saya\PRP 153, nya.\PRP 241
saya\PRP 153, batu\NN itu\PR 243
saya\PRP 153, New\NNP Orleans\NNP 245
saya\PRP 153, daerah\NN itu\PR 247
saya\PRP 153, Las\NNP Vegas\NNP 253
saya\PRP 154, Zuckerberg\NNP 162
saya\PRP 154, sekarang\NN ini,\PR 164
saya\PRP 154, nya\PRP 165
saya\PRP 154, dia\PRP 166
saya\PRP 154, situs\NN ini\PR 167
saya\PRP 154, dia\PRP 172
saya\PRP 154, 35\CD orang\NN terkaya\JJ 173
saya\PRP 154, dia\PRP 177
saya\PRP 154, Dua\CD orang\NND 179
saya\PRP 154, rekan\NN Zuckerberg\NNP 180
saya\PRP 154, Harvard\NNP 181
saya\PRP 154, mereka.\PRP 183
saya\PRP 154, nya\PRP 187
saya\PRP 154, nya\PRP 198
saya\PRP 154, jamrud\NN raksasa\JJ itu\PR 202
saya\PRP 154, batu\NN tersebut.\PR 206
