1,EVENT,"Kera",null
,,"untuk amankan",null
2,OTHER,"pesta olahraga",null
3,TITLE|LOCATION,"Pemerintah kota Delhi",null
,,"mengerahkan",null
4,OTHER,"monyet",null
,,"untuk mengusir",null
5,OTHER,"monyet-monyet lain",null
,,"yang berbadan lebih kecil dari arena",null
6,FACILITY|OTHER,"Pesta Olahraga Persemakmuran.",null
7,OTHER,"Beberapa laporan",null
,,"menyebutkan",null
8,OTHER|NUM,"setidaknya 10 monyet",null
,,"ditempatkan di luar arena",null
9,THINGS,"lomba dan pertandingan",null
,,"di",null
10,OTHER,"ibukota India.",null
11,FACILITY|LOCATION,"Pemkot Delhi",null
,,"memiliki",null
12,PERSON,"28 monyet",null
,,"dan berencana mendatangkan",null
13,NUM,"10 monyet sejenis",null
,,"dari",null
14,OTHER,"negara bagian Rajasthan.",null
15,OTHER,"Jumlah monyet",null
,,"di",null
16,OTHER|LOCATION,"ibukota India",null
,,"mencapai",null
17,OTHER,"ribuan,",null
18,OTHER,"sebagian besar",null
,,"berada di",null
19,OTHER,"kantor-kantor pemerintah",null
,,"dan",null
20,OTHER,"hewan ini",null
,,"dianggap mengganggu",null
21,OTHER,"ketertiban umum.",null
22,OTHER,"Jenis monyet",null
,,"yang dikerahkan",null
23,OTHER,"pemkot",null
,,"berbadan besar, berekor panjang, dan memiliki wajah berwarna hitam.",null
24,OTHER,"Monyet ini",null
,,"diikat dengan",null
25,OTHER,"tali panjang",null
,,"dan pelatih yang mengawasi",null
26,OTHER,"mereka",null
,,"akan melepas",null
27,OTHER,"tali",null
,,"begitu",null
28,OTHER|THINGS,"monyet-monyet kecil lain",null
,,"mendekat.",null
29,ORGANIZATION|LOCATION,"Kantor berita AFP",null
,,"melaporkan stadion",null
30,OTHER,"tinju",null
,,"dan",null
31,OTHER,"hockey",null
,,"mendapatkan",null
32,OTHER,"perhatian khusus",null
,,"karena sering diserbu",null
33,OTHER,"monyet.",null
34,PERSON|OTHER,"Monyet besar",null
,,"akan dikerahkan di",null
35,NUM,"dua stadion",null
,,"untuk mengusir serbuan",null
36,OTHER,"monyet kecil",null
,,""",null
37,ORGANIZATION|OTHER,"Monyet besar",null
,,"akan dikerahkan di",null
38,FACILITY|OTHER,"dua stadion tersebut",null
,,"untuk mengusir serbuan",null
39,THINGS,"monyet kecil,",null
,,"" kata",null
40,PERSON|OTHER,"Devender Prasad,",null
,,"pejabat",null
41,OTHER|LOCATION,"pemerintah kota Delhi",3
,,"kepada",null
42,ORGANIZATION|OTHER,"kantor berita AFP.",null
,,"Selama",null
43,OTHER,"bertahun-tahun",null
44,OTHER,"monyet",null
,,"mengganggu",null
45,OTHER,"warga Delhi.",null
46,OTHER,"Binatang ini",null
,,"menaiki",null
47,OTHER,"kereta metro",null
,,"dan bahkan berkeliaran di",null
48,OTHER|FACILITY,"kompleks gedung parlemen.",null
,,"Belum lama ini",null
49,OTHER,"kawanan monyet",null
,,"menyerbu",null
50,OTHER|TITLE,"kantor perdana menteri",null
,,"dan",null
51,ORGANIZATION|OTHER,"departemen pertahanan.",null
52,OTHER,"Binatang ini",null
,,"tidak bisa dibunuh karena",null
53,OTHER|LOCATION,"masyarakat India",null
,,"menganggap",null
54,OTHER,"mereka",null
,,"suci.",null
,,"Selain harus mengusir",null
55,OTHER,"kawanan monyet,",null
56,OTHER|LOCATION,"pemkot Delhi",11
,,"juga kesulitan mengatasi",null
57,TITLE|OTHER,"wabah demam berdarah.",null
58,OTHER,"Curah hujan",null
,,"yang tinggi menyebabkan",null
59,OTHER,"banyak genangan,",null
60,OTHER,"tempat ideal",null
,,"bagi",null
61,OTHER,"nyamuk aedes",null
,,"berkembang biak.",null
62,ORGANIZATION,"Pemkot",null
,,"telah menempatkan",null
63,OTHER,"ikan",null
,,"di",null
64,OTHER,"berbagai genangan air",null
,,"untuk memangsa",null
65,OTHER,"telur nyamuk.",null
66,TITLE|ORGANIZATION,"Miliarder AS",null
,,"jamu",null
67,ORGANIZATION|LOCATION,"orang kaya Cina",null
68,THINGS,"Dua miliarder Amerika",null
69,THINGS,"Bill Gates",null
,,"dan",null
70,THINGS,"Warren Buffett",null
,,"akan mengadakan",null
71,OTHER,"jamuan makan malam",null
,,"di",null
72,LOCATION,"Beijing",null
,,"bagi",null
73,OTHER,"sejumlah orang terkaya",null
,,"di",null
74,OTHER,"Cina.",67
75,PERSON|OTHER,"Gates dan Buffett",null
,,"mengatakan",null
76,OTHER,"mereka",null
,,"berada di",null
77,LOCATION,"Cina",null
,,"untuk mempelajari",null
78,OTHER,"kegiatan amal",null
,,"di",null
79,OTHER,"negara itu.",null
80,PERSON,"Banyak orang",null
,,"menduga",null
81,OTHER,"mereka",null
,,"ingin membujuk",null
82,OTHER,"para tamu",null
,,"agar",null
83,OTHER,"lebih banyak",null
,,"menyumbang untuk",null
84,OTHER,"amal.",null
85,PERSON,"Kedua",null
86,PERSON,"orang terkaya dunia",null
,,"itu sudah berhasil membujuk",null
87,OTHER,"banyak orang",null
,,"yang sangat kaya di",null
88,LOCATION,"Amerika",null
,,"agar menyumbangkan separuh kekayaan",null
89,OTHER,"mereka.",null
,,"Ada",null
90,OTHER,"kerahasiaan",null
,,"mengenai",null
91,OTHER,"acara itu,",null
92,OTHER,"pihak penyelenggara",null
,,"tidak membeberkan",null
93,OTHER,"nama-nama tamu.",null
94,OTHER|NUM,"Salah satu orang",null
,,"yang akan menghadiri",null
95,OTHER,"jamuan makan malam",null
,,"itu adalah",null
96,PERSON|OTHER,"Chen Guangbiao,",null
97,OTHER,"seorang miliarder",null
,,"yang meraup",null
98,OTHER,"kekayaan",null
,,"dari bisnis mendaur ulang",null
99,OTHER,"sampah",null
,,"dari",null
100,ORGANIZATION|OTHER,"industri bangunan.",null
101,PERSON,"Dia",null
,,"mengatakan kepada",null
102,PERSON,"BBC",null
,,"bahwa",null
103,OTHER,"dia",null
,,"sudah berencana menyumbangkan seluruh harta",null
104,OTHER,"nya",null
,,"untuk",null
105,OTHER,"amal",null
,,"bila",null
106,OTHER,"dia",null
,,"meninggal.",null
,,"" Beramal dan membantu sudah menjadi",null
107,OTHER,"bagian",null
,,"dari",null
108,OTHER|LOCATION,"budaya Cina",74|77
,,"selama",null
109,TIME,"5.000 tahun.",null
,,"Tetapi",null
110,TITLE,"kegiatan amal resmi",null
,,"baru dikembangkan di",null
111,LOCATION,"Cina",67|77
,,"dalam",null
112,TIME|OTHER,"30 tahun terakhir,",null
,,"sejak",null
113,OTHER,"kami",null
,,"menerapkan",null
114,OTHER,"reformasi ekonomi.",null
,,""",null
,,""",null
115,OTHER,"Banyak orang",null
,,"baru mulai menjadi kaya dan",null
116,OTHER,"kami",null
,,"baru-baru ini saja bisa memberi",null
117,OTHER,"makan",null
118,OTHER,"diri sendiri,",null
,,"" kata",null
119,OTHER,"nya.",null
,,"Menyumbangkan",null
120,PERSON,"uang",null
,,"untuk",null
121,OTHER,"amal",null
,,"belum begitu berkembang di",null
122,LOCATION,"Cina",67|77
,,"sebaik di",null
123,OTHER,"banyak negara lain.",null
,,"Kalau",null
124,OTHER|TIME,"jamuan makan malam ini",null
,,"bisa dikatakan berhasil,",null
125,OTHER,"keberhasilan itu",null
,,"adalah mendorong",null
126,OTHER,"perdebatan",null
,,"mengenai apa arti beramal bagi yang membutuhkan.",null
,,"Kisah",null
127,PERSON,"pendiri Facebook",null
,,"dibuat",null
128,OTHER,"komik",null
,,"Kisah",null
129,TITLE,"pendiri Facebook",127
130,PERSON,"Mark Zuckerberg",null
,,"akan diceritakan dalam",null
131,LOCATION|OTHER,"sebuah komik biografi.",null
132,EVENT,"Komik",null
,,"dengan judul",null
133,LOCATION,"Mark Zuckerberg",null
,,":",null
134,LOCATION|OTHER,"Pencipta Facebook,",null
,,"akan tersedia di",null
135,OTHER,"pasar",null
,,"sebelum",null
136,TIME,"Desember 2010,",null
137,OTHER,"demikian",null
,,"pernyataan",null
138,OTHER|LOCATION,"penerbit Bluewater Productions.",null
139,OTHER|PERSON,"Penulis Jerome Maida",null
,,"menyebut",null
140,OTHER|THINGS,"kisah Zuckerberg",null
,,"" mengagumkan " dan " luar biasa ".",null
141,THINGS,"Sebuah film",null
,,"mengenai",null
142,PERSON,"Facebook",null
,,"dengan judul",null
143,PERSON|OTHER,"The Social Network,",null
,,"juga akan dirilis pada",null
144,OTHER|TIME,"tanggal 15 Oktober nanti.",null
,,"Film yang ditulis oleh pencipta serial",null
145,ORGANIZATION|TITLE,"West Wing",null
146,PERSON,"Aaron Sorkin",null
,,"dan disutradarai oleh",null
147,ORGANIZATION,"David Fincher",null
,,"yang pernah menggarap film",null
148,LOCATION|OTHER|THINGS,"Fight ' s Club",null
,,"ini sebenarnya belum memperoleh izin",null
149,FACILITY|OTHER,"Mark Zuckerberg.",null
,,"Pemuda berusia",null
150,TIME,"26 tahun",null
,,"ini mengatakan "",null
151,OTHER,"Saya",null
,,"mengharapkan tidak ada orang yang membuat",null
152,OTHER,"film",null
,,"tentang",null
153,OTHER,"saya",null
,,"ketika",null
154,OTHER,"saya",null
,,"masih hidup, " kata",null
155,OTHER,"nya",null
,,"dalam",null
156,OTHER,"sebuah konferensi teknologi",null
157,TIME,"Juni silam.",null
,,"Hingga",null
158,TIME,"Juli 2010",null
159,OTHER|NUM,"lebih dari 500 juta",null
,,"yang terdaftar dalam situs",null
160,OTHER,"jejaring sosial",null
,,"tersebut.",null
,,"Hanya butuh",null
161,TIME,"enam tahun",null
,,"bagi",null
162,LOCATION,"Zuckerberg",133
,,"untuk bisa mencapai",null
163,OTHER,"kesuksesan",null
,,"seperti",null
164,THINGS|OTHER,"sekarang ini,",null
,,"setelah sebelum",null
165,OTHER,"nya",null
166,OTHER,"dia",null
,,"meluncurkan",null
167,OTHER,"situs ini",null
,,"saat masih duduk sebagai",null
168,OTHER,"mahasiswa",null
,,"di",null
169,ORGANIZATION|OTHER,"Universitas Harvard.",null
170,TIME,"September silam,",null
171,TIME,"majalah Forbes",null
,,"memasukkan",null
172,OTHER,"dia",null
,,"dalam daftar",null
173,PERSON,"35 orang terkaya",null
,,"di",null
174,LOCATION,"Amerika Serikat",88
,,"dengan",null
175,OTHER,"total kekayaan",null
,,"diperkirakan mencapai",null
176,THINGS|NUM,"US $ 6,4 miliar.",null
,,"Tetapi langkah",null
177,OTHER,"dia",null
,,"menuju",null
178,OTHER,"kesuksesan",null
,,"tidak lah mulus.",null
179,PERSON,"Dua orang",null
180,PERSON,"rekan Zuckerberg",null
,,"di",null
181,LOCATION,"Harvard",null
,,"mengklaim ide",null
182,OTHER|LOCATION,"pembuatan Facebook",null
,,"datang dari",null
183,OTHER,"mereka.",null
184,PERSON,"Mereka",null
,,"terlibat dalam",null
185,OTHER,"sengketa hukum",null
,,"yang berlarut-larut pada",null
186,OTHER|TIME,"tahun 2008",null
,,"dan diakhiri dengan pembayaran yang dirahasiakan jumlah",null
187,OTHER,"nya",null
,,"kepada",null
188,ORGANIZATION|OTHER,"Cameron dan Tyler",null
,,"Winklevoss, yang",null
189,OTHER,"kini",null
,,"juga membuat situs",null
190,OTHER,"jejaring sosial",null
,,"bernama",null
191,OTHER,"ConnectU.",null
,,"Perebutan",null
192,EVENT,"jamrud Bahia",null
,,"raksasa",null
193,LOCATION,"Jaksa Kalifornia",null
,,"akan mulai menanyai",null
194,OTHER,"sejumlah pihak",null
,,"untuk menentukan mengenai",null
195,OTHER,"kepemilikan",null
,,"dari",null
196,THINGS,"jamrud raksasa,",null
,,"yang disebut sebagai terbesar.",null
197,FACILITY|ORGANIZATION,"Jamrud Bahia",null
,,"dinamakan sesuai lokasi penemuan",null
198,OTHER,"nya",null
,,"di",null
199,OTHER|FACILITY,"salah satu daerah",null
,,"di",null
200,LOCATION,"Brasil",null
,,"memiliki berat",null
201,FACILITY|OTHER,"380 kg.",null
,,"Diperkirakan",null
202,TITLE|OTHER,"jamrud raksasa itu",null
,,"bernilai",null
203,OTHER|THINGS|NUM,"lebih dari US $ 370 juta",null
,,"dan",null
204,OTHER|NUM|THINGS,"setidaknya enam orang",null
,,"mengklaim kepemilikan",null
205,OTHER,"hak",null
,,"atas",null
206,OTHER,"batu tersebut.",null
207,ORGANIZATION,"Jaksa",193
,,"akan mendengarkan",null
208,OTHER,"semua pihak",null
,,"yang mengklaim",null
209,OTHER,"permata itu,",null
,,"sebelum memutuskan kasus",null
210,OTHER,"nya",null
,,"pada",null
211,TIME|OTHER,"Oktober nanti.",144
212,OTHER|NUM,"Salah satu",null
,,"dari pihak yang berselisih, adalah",null
213,PERSON,"Anthony Thomas",null
214,OTHER,"ahli konstruksi",null
,,"dari",null
215,LOCATION,"Kalifornia",null
,,"yang mengatakan",null
216,OTHER,"dia",null
,,"telah membayar kepada",null
217,NUM|THINGS,"dua orang",null
218,THINGS,"agen permata",null
,,"Brasil",null
219,OTHER|THINGS|NUM,"senilai US $ 60.000",null
,,"untuk",null
220,OTHER,"jamrud tersebut",null
,,"tak lama setelah ditemukan",null
221,TIME|OTHER,"sembilan tahun lalu.",null
222,PERSON,"Thomas",null
,,"mengatakan telah mengatur agar",null
223,OTHER,"batu itu",null
,,"dikirim melalui",null
224,OTHER,"kapal",null
,,"ke kediaman",null
225,OTHER,"nya",null
,,"di",null
226,ORGANIZATION|OTHER,"San Jose,",null
,,"tetapi tak pernah muncul.",null
227,OTHER,"Dia",null
,,"percaya",null
228,OTHER,"batu itu",null
,,"telah dicuri untuk dijual kembali dengan",null
229,OTHER,"harga yang lebih mahal.",null
230,PERSON,"Thomas",null
231,OTHER|PERSON,"hanya salah satu",null
,,"dari",null
232,PERSON,"enam pihak",null
,,"yang mengklaim sebagai pemilik",null
233,ORGANIZATION|OTHER,"jamrud raksasa itu.",null
234,THINGS,"Satu masalah",null
,,"yang dihadapi adalah",null
235,OTHER,"dia",null
,,"kehilangan",null
236,OTHER,"tanda terima",null
,,"akibat kebakaran yang melanda rumah",null
237,OTHER,"nya.",null
238,OTHER,"Jamrud itu",null
,,"akhirnya sampai ke",null
239,OTHER,"Amerika,",null
,,"meskipun setibanya di",null
240,LOCATION,"Amerika",174|239
,,"tidak jelas siapa pemilik",null
241,OTHER,"nya.",null
242,THINGS,"Satu hal",null
,,"yang diketahui",null
243,OTHER,"batu itu",null
,,"sempat disimpan di",null
244,OTHER,"lemari besi bank",null
,,"di",null
245,LOCATION,"New Orleans",null
,,"yang terkena",null
246,OTHER,"banjir",null
,,"ketika",null
247,OTHER,"daerah itu",null
,,"diterjang",null
