1,EVENT,"Kera\NN",null
,,"untuk\SC amankan\VB",null
2,EVENT|OTHER,"pesta_olahraga\NN",null
3,TITLE|LOCATION,"Pemerintah\NNP kota\NNP Delhi\NNP",null
,,"mengerahkan\VB",null
4,OTHER,"monyet\NN",null
,,"untuk\SC mengusir\VB",null
5,OTHER,"monyet-monyet\NN lain\JJ",null
,,"yang\SC berbadan\VB lebih\RB kecil\JJ dari\IN arena\NN",null
6,LOCATION|OTHER,"Pesta_Olahraga\NNP Persemakmuran\NNP",null
,,".\Z",null
7,OTHER,"Beberapa\CD laporan\NN",null
,,"menyebutkan\VB",null
8,OTHER|NUM,"setidaknya\RB 10\CD monyet\NN",null
,,"ditempatkan\VB di\IN luar\NN arena\NN",null
9,THINGS,"lomba\NN dan\CC pertandingan\NN",null
,,"di\IN",null
10,OTHER,"ibukota\NNP India\NNP",null
,,".\Z",null
11,FACILITY|LOCATION,"Pemkot\NNP Delhi\NNP",null
,,"memiliki\VB",null
12,PERSON,"28\CD monyet\NN",null
,,"dan\CC berencana\VB mendatangkan\VB",null
13,NUM,"10\CD monyet\NN sejenis\NN",null
,,"dari\IN",null
14,OTHER,"negara_bagian\NNP Rajasthan\NNP",null
,,".\Z",null
15,OTHER,"Jumlah\NN monyet\NN",null
,,"di\IN",null
16,OTHER|LOCATION,"ibukota\NNP India\NNP",null
,,"mencapai\VB",null
17,OTHER,"ribuan\CD",null
,,",\Z",null
18,OTHER,"sebagian_besar\NN",null
,,"berada\VB di\IN",null
19,OTHER|THINGS,"kantor-kantor\NN pemerintah\NN",null
,,"dan\CC",null
20,THINGS,"hewan\NN ini\PR",null
,,"dianggap\VB mengganggu\VB",null
21,THINGS,"ketertiban\NN umum\JJ",null
,,".\Z",null
22,LOCATION,"Jenis\NN monyet\NN",null
,,"yang\SC dikerahkan\VB",null
23,OTHER,"pemkot\NN",null
,,"berbadan\VB besar\JJ ,\Z berekor\VB panjang\JJ ,\Z dan\CC memiliki\VB wajah\NN berwarna\VB hitam\JJ .\Z",null
24,OTHER,"Monyet\NN ini\PR",null
,,"diikat\VB dengan\IN",null
25,OTHER,"tali\NN panjang\JJ",null
,,"dan\CC pelatih\NN yang\SC mengawasi\VB",null
26,OTHER,"mereka\PRP",null
,,"akan\MD melepas\VB",null
27,OTHER,"tali\NN",null
,,"begitu\SC",null
28,OTHER|THINGS,"monyet-monyet\NN kecil\JJ lain\JJ",null
,,"mendekat\VB .\Z",null
29,ORGANIZATION|LOCATION,"Kantor_berita\NNP AFP\NNP",null
,,"melaporkan\VB stadion\NN",null
30,OTHER,"tinju\NN",null
,,"dan\CC",null
31,OTHER,"hockey\FW",null
,,"mendapatkan\VB",null
32,OTHER,"perhatian\NN khusus\JJ",null
,,"karena\SC sering\RB diserbu\VB",null
33,OTHER,"monyet\NN",null
,,".\Z",null
34,PERSON,"Monyet\NN besar\JJ",null
,,"akan\MD dikerahkan\VB di\IN",null
35,NUM,"dua\CD stadion\NN",null
,,"untuk\SC mengusir\VB serbuan\NN",null
36,OTHER,"monyet\NN kecil\JJ",null
,,""\Z",null
37,ORGANIZATION,"Monyet\NN besar\JJ",null
,,"akan\MD dikerahkan\VB di\IN",null
38,OTHER|NUM,"dua\CD stadion\NN tersebut\PR",null
,,"untuk\SC mengusir\VB serbuan\NN",null
39,OTHER|THINGS,"monyet\NN kecil\JJ",null
,,",\Z "\Z kata\VB",null
40,OTHER,"Devender\NNP Prasad\NNP",null
,,",\Z pejabat\NN",null
41,OTHER,"pemerintah\NNP kota\NNP Delhi\NNP",null
,,"kepada\IN",null
42,LOCATION|OTHER|ORGANIZATION,"kantor_berita\NNP AFP\NNP",null
,,".\Z",null
,,"Selama\IN",null
43,OTHER,"bertahun-tahun\CD",null
44,OTHER,"monyet\NN",null
45,OTHER,"warga\NN Delhi\NNP",null
,,".\Z",null
46,OTHER,"Binatang\NN ini\PR",null
,,"menaiki\VB",null
