1,EVENT,Kera\NN,null
,,untuk\SC amankan\VB,null
2,OTHER|OTHER,pesta\NN olahraga\NN,null
3,TITLE|TITLE|LOCATION,Pemerintah\NNP kota\NNP Delhi\NNP,null
,,mengerahkan\VB,null
4,OTHER,monyet\NN,null
,,untuk\SC mengusir\VB,null
5,OTHER|OTHER,monyet-monyet\NN lain\JJ,null
,,yang\SC berbadan\VB lebih\RB kecil\JJ dari\IN arena\NN,null
6,FACILITY|FACILITY|OTHER,Pesta\NNP Olahraga\NNP Persemakmuran.\NNP,null
7,OTHER|OTHER,Beberapa\CD laporan\NN,null
,,menyebutkan\VB,null
8,OTHER|NUM|NUM,setidaknya\RB 10\CD monyet\NN,null
,,ditempatkan\VB di\IN luar\NN arena\NN,null
9,THINGS|THINGS|THINGS,lomba\NN dan\CC pertandingan\NN,null
,,di\IN,null
10,OTHER|OTHER,ibukota\NNP India.\NNP,null
11,FACILITY|LOCATION,Pemkot\NNP Delhi\NNP,3
,,memiliki\VB,null
12,PERSON|PERSON,28\CD monyet\NN,null
,,dan\CC berencana\VB mendatangkan\VB,null
13,NUM|NUM|NUM,10\CD monyet\NN sejenis\NN,null
,,dari\IN,null
14,OTHER|OTHER|OTHER,negara\NNP bagian\NNP Rajasthan.\NNP,null
15,OTHER|OTHER,Jumlah\NN monyet\NN,null
,,di\IN,null
16,OTHER|LOCATION,ibukota\NNP India\NNP,10
,,mencapai\VB,null
17,OTHER,"ribuan,\CD",null
18,OTHER|OTHER,sebagian\NN besar\NN,null
,,berada\VB di\IN,null
19,OTHER|OTHER,kantor-kantor\NN pemerintah\NN,null
,,dan\CC,null
20,OTHER|OTHER,hewan\NN ini\PR,null
,,dianggap\VB mengganggu\VB,null
21,OTHER|OTHER,ketertiban\NN umum.\JJ,null
22,OTHER|OTHER,Jenis\NN monyet\NN,null
,,yang\SC dikerahkan\VB,null
23,OTHER,pemkot\NN,null
,,"berbadan\VB besar,\JJ berekor\VB panjang,\JJ dan\CC memiliki\VB wajah\NN berwarna\VB hitam.\JJ",null
24,OTHER|OTHER,Monyet\NN ini\PR,null
,,diikat\VB dengan\IN,null
25,OTHER|OTHER,tali\NN panjang\JJ,null
,,dan\CC pelatih\NN yang\SC mengawasi\VB,null
26,OTHER,mereka\PRP,null
,,akan\MD melepas\VB,null
27,OTHER,tali\NN,null
,,begitu\SC,null
28,OTHER|OTHER|THINGS,monyet-monyet\NN kecil\JJ lain\JJ,null
,,mendekat.\VB,null
29,ORGANIZATION|ORGANIZATION|LOCATION,Kantor\NNP berita\NNP AFP\NNP,null
,,melaporkan\VB stadion\NN,null
30,OTHER,tinju\NN,null
,,dan\CC,null
31,OTHER,hockey\FW,null
,,mendapatkan\VB,null
32,OTHER|OTHER,perhatian\NN khusus\JJ,null
,,karena\SC sering\RB diserbu\VB,null
33,OTHER,monyet.\NN,null
34,PERSON|OTHER,Monyet\NN besar\JJ,null
,,akan\MD dikerahkan\VB di\IN,null
35,NUM|NUM,dua\CD stadion\NN,null
,,untuk\SC mengusir\VB serbuan\NN,null
36,OTHER|OTHER,monyet\NN kecil\JJ,null
,,\Z,null
37,ORGANIZATION|OTHER,Monyet\NN besar\JJ,null
,,akan\MD dikerahkan\VB di\IN,null
38,FACILITY|FACILITY|OTHER,dua\CD stadion\NN tersebut\PR,null
,,untuk\SC mengusir\VB serbuan\NN,null
39,THINGS|THINGS,"monyet\NN kecil,\JJ",null
,,\Z kata\VB,null
40,PERSON|OTHER,"Devender\NNP Prasad,\NNP",null
,,pejabat\NN,null
41,OTHER|LOCATION|LOCATION,pemerintah\NNP kota\NNP Delhi\NNP,11
,,kepada\IN,null
42,ORGANIZATION|ORGANIZATION|OTHER,kantor\NNP berita\NNP AFP.\NNP,29
,,Selama\IN,null
43,OTHER,bertahun-tahun\CD,null
44,OTHER,monyet\NN,null
,,mengganggu\VB,null
45,OTHER|OTHER,warga\NN Delhi.\NNP,null
