2, 24, Polri,\NNP, dia.\PRP
7, 24, Freddy.\NNP, dia.\PRP
28, 33, Ia\PRP, ia\PRP
71, 73, Akbar.\NN, calon\NN kepala\NN daerah\NN
72, 101, DPP\NN Partai\NN Golkar\NNP, dia.\PRP
77, 101, Ketua\NN Bidang\NN Pemenangan\NN Pemilu\NN Aceh\NNP, dia.\PRP
81, 101, kontrak\NN politik\NN, dia.\PRP
81, 102, kontrak\NN politik\NN, Andi\PRP
85, 94, Kontrak\NN politik\NN ini\DT, kami\PRP
91, 101, Jakarta,\NNP, dia.\PRP
126, 129, Mereka\PRP, mereka\PRP
145, 146, Aceh\NNP Tamiang,\NNP, Bireun,\NNP
148, 149, Wakil\NN Ketua\NN Tim\NNP, Pemenangan\NN Basuki\NN Tjahaja\NN Purnama\NN
152, 161, Rumah\NN Lembang\NN, Rumah\NN Lembang\NNP
153, 162, relawan\NN dan\CC warga\NN, wadah\NN pertemuan\NN dan\CC pertukaran\NN informasi\NN
155, 161, Rumah\NN Lembang\NN, Rumah\NN Lembang\NNP
231, 243, Andi\NNP, Andi\NNP
231, 275, Andi\NNP, Andi.\NNP
243, 275, Andi\NNP, Andi.\NNP
271, 272, Sekarang\NN relatif\JJ, aman.\NN
297, 298, aspek\NN penyelenggaraan,\NN, kontestasi,\NN
300, 337, Menteri\NN Agama\NN Lukman\NN Hakim\NN Saifudin\NNP, Lukman.\NN
309, 310, Kompleks\NN Parlemen,\NN, Senayan,\NN
320, 337, Lukman.\NN, Lukman.\NN
326, 337, hal\NN itu\DT, Lukman.\NN
326, 343, hal\NN itu\DT, dia\PRP
326, 347, hal\NN itu\DT, Saya\PRP
337, 348, Lukman.\NN, rasa\NN permohonan\NN maaf\NN Menteri\NN Agama\NN keoada\NN umat\NN muslim\NN
341, 347, kualitas\NN penyelenggaraan\NN haji\NN tahun\NN ini\DT, Saya\PRP
367, 369, ter\NN Stegen\NN diplot\JJ, Pemandangan\NN tersebut\DT
391, 396, Dia\PRP, dia\PRP
426, 456, SIRNAS\NNP, Saya\PRP
426, 493, SIRNAS\NNP, saya\PRP
430, 435, SD\NNP dan\CC SMP\NN, SD\NN Putra,\NN
430, 436, SD\NNP dan\CC SMP\NN, SD\NN Putri,\NN
430, 437, SD\NNP dan\CC SMP\NN, SMP\NN Putra\NN
430, 438, SD\NNP dan\CC SMP\NN, SMP\NN Putri.\NN
432, 461, Piala\NNP MILO\NNP, MILO\NNP School\NNP Competition\NNP
442, 443, Sritex\NN Arena\NNP Hall\NNP B\NNP Solo.\NNP, Ketua\NN Bidang\NN Keabsahan\NN Pengprov\NN PBSI\NNP
442, 451, Sritex\NN Arena\NNP Hall\NNP B\NNP Solo.\NNP, Solo.\NNP
445, 456, Saya\PRP, Saya\PRP
445, 483, Saya\PRP, Saya\PRP
445, 489, Saya\PRP, saya\PRP
445, 496, Saya\PRP, Saya\PRP
447, 464, MILO\NN, kami\PRP
452, 464, Kami\PRP, kami\PRP
452, 471, Kami\PRP, kami\PRP
456, 483, Saya\PRP, Saya\PRP
456, 489, Saya\PRP, saya\PRP
456, 496, Saya\PRP, Saya\PRP
482, 483, MILO\NNP School\NNP Competition\NNP Cirebon.\NNP, Saya\PRP
482, 502, MILO\NNP School\NNP Competition\NNP Cirebon.\NNP, Indonesia,\NNP
483, 489, Saya\PRP, saya\PRP
483, 496, Saya\PRP, Saya\PRP
489, 493, saya\PRP, saya\PRP
493, 496, saya\PRP, Saya\PRP
558, 559, batu\NN nisannya.\JJ, Prajurit\NN Konfederasi\NN itu\DT
561, 565, Dia\PRP, dia\PRP
561, 581, Dia\PRP, dia\PRP
578, 586, Beckman,\NNP, Beckman,\NNP
601, 628, perbaikan\NN nisan\NNP, Saya\PRP
618, 619, tahun,\NN, Beckman.\NNP
628, 648, Saya\PRP, Saya\PRP
635, 653, Roy\NNP Calloway\NNP, Roy\NNP
650, 652, Semuanya\NN, Roy.\NNP
